Package,BetaVersion
@elizaos/core,1.0.0-beta.49
@elizaos/plugin-bootstrap,1.0.0-beta.49
@elizaos/plugin-evm,1.0.0-beta.40
@elizaos/plugin-solana,1.0.0-beta.49
@elizaos/plugin-tee,1.0.0-beta.49
@elizaos/plugin-twitter,1.0.0-beta.49
@elizaos/plugin-openai,1.0.0-beta.49
@elizaos/plugin-telegram,1.0.0-beta.49
@elizaos/cli,1.0.0-beta.49
@elizaos/plugin-discord,1.0.0-beta.49
@elizaos/plugin-elevenlabs,1.0.0-beta.48
@elizaos/plugin-anthropic,1.0.0-beta.41
@elizaos/plugin-local-ai,1.0.0-beta.49
@elizaos/plugin-sql,1.0.0-beta.49
@elizaos/the-org,1.0.0-beta.49
@elizaos/plugin-browser,1.0.0-beta.41
@elizaos/plugin-video-understanding,1.0.0-beta.40
@elizaos/plugin-pdf,1.0.0-beta.40
@elizaos/plugin-storage-s3,1.0.0-beta.41
@elizaos/plugin-farcaster,1.0.0-beta.49
@elizaos/plugin-groq,1.0.0-beta.41
@elizaos/plugin-redpill,1.0.0-beta.43
@elizaos/plugin-ollama,1.0.0-beta.41
@elizaos/plugin-venice,1.0.0-beta.41
